geoid10,los_dist_score,los_acre_score,los_exp_score,los_total_score,la_dist_score,la_acre_score,la_exp_score,la_total_score,gw_score_loop_contiguous,los_gw_total_score,la_gw_total_score,totpop_2018,area,popdensity_sqmi,tothh_2018
"371830511021009","5","5","5","15","5","5","5","15","4","19","19",0,0.00117608757823486,0,"0"
"371830511022009","5","5","5","15","5","5","5","15","5","20","20",0,0.0103933577730522,0,"0"
"371830511023007","5","5","5","15","5","5","5","15","5","20","20",0,0.00213824169364579,0,"0"
"371830512003025","5","5","5","15","5","5","5","15","4","19","19",24,0.00457063600691468,5250.91036864271,"13"
"371830527063034","1","2","4","7","2","3","4","9","4","11","13",0,0.00908173072761657,0,"0"
"371830528072063","2","1","1","4","5","5","2","12","2","6","14",22,0.0288727611364654,761.963841837581,"7"
"371830521011005","4","4","5","13","4","4","5","13","3","16","16",77,0.0175768183400342,4380.7700865076,"37"
"371830530081022","5","5","3","13","5","5","4","14","5","18","19",4,0.00961032164574568,416.219159716754,"3"
"371830535171020","1","5","1","7","2","5","2","9","2","9","11",0,0.0132249444669814,0,"0"
"371830537142006","2","2","3","7","2","2","3","7","3","10","10",182,0.0488785097014185,3723.517781368,"94"
"371830537141007","2","2","3","7","2","2","3","7","3","10","10",29,0.00583435980698697,4970.55391840436,"23"
"371830540071012","2","2","3","7","2","2","3","7","5","12","12",105,0.0221986464223482,4730.01812823564,"37"
"371830536102030","3","5","1","9","3","5","2","10","1","10","11",0,0.00330889482594976,0,"0"
"371830537152017","3","4","3","10","3","4","4","11","4","14","15",38,0.00447840202822522,8485.16943331667,"12"
"371830525042008","3","5","4","12","3","5","4","12","4","16","16",95,0.0169950356693235,5589.8676442014,"59"
"371830524011098","2","5","3","10","2","5","4","11","4","14","15",0,0.00712305874470064,0,"0"
"371830525031013","2","5","2","9","2","5","2","9","3","12","12",0,0.00261884651278287,0,"0"
"371830525043044","3","5","3","11","3","5","4","12","4","15","16",0,0.000459569786242118,0,"0"
"371830537111003","4","1","2","7","4","1","2","7","3","10","10",14,0.00532123028599349,2630.97051763588,"4"
"371830538082020","1","3","3","7","2","3","3","8","5","12","13",43,0.0210880328386534,2039.07117980122,"15"
"371830538083032","4","5","2","11","4","5","3","12","5","16","17",2,0.00160876282694748,1243.19133094023,"2"
"371830538071024","4","3","3","10","4","3","3","10","3","13","13",0,0.00319789389389377,0,"0"
"371830536101080","1","5","1","7","1","5","1","7","1","8","8",81,0.00327827497745676,24708.1164810765,"45"
"371830501001102","5","5","5","15","5","5","5","15","5","20","20",2,0.000968881388632195,2064.23616292545,"1"
"371830537252028","1","5","2","8","1","5","2","8","3","11","11",60,0.0024262604034537,24729.4148289244,"31"
"371830537241021","2","5","1","8","2","5","2","9","2","10","11",0,0.0379995364642067,0,"0"
"371830525072001","2","5","2","9","2","5","2","9","3","12","12",0,0.0141763534918246,0,"0"
"371830537252031","1","5","2","8","1","5","2","8","3","11","11",241,0.00416451382483572,57869.9003381281,"141"
"371830537211016","4","2","2","8","4","2","2","8","3","11","11",3,0.000573149698587792,5234.23462908875,"1"
"371830537112016","3","5","2","10","3","5","2","10","3","13","13",21,0.0210956466168537,995.466049531884,"9"
"371830537241050","2","5","2","9","2","5","2","9","2","11","11",0,0.0043998305105536,0,"0"
"371830537252032","1","5","2","8","1","5","2","8","3","11","11",8,0.0006391940879068,12515.7603165542,"5"
"371830540182000","2","4","3","9","2","4","3","9","2","11","11",0,0.00289511337795728,0,"0"
"371830540084001","2","3","3","8","3","4","4","11","2","10","13",24,0.00275878958245443,8699.46738694285,"12"
"371830540182012","2","2","3","7","2","3","3","8","2","9","10",71,0.00227389241435399,31223.9926356283,"23"
"371830540142009","4","3","1","8","4","4","2","10","3","11","13",20,0.00471051371761063,4245.82141120371,"9"
"371830540134043","2","5","2","9","2","5","2","9","5","14","14",35,0.00609286258661515,5744.42628607583,"13"
"371830545001031","5","5","5","15","5","5","5","15","5","20","20",0,0.000751904746048347,0,"0"
"371830540082007","3","3","3","9","3","3","3","9","2","11","11",0,0.00116577685110527,0,"0"
"371830507001017","5","5","5","15","5","5","5","15","5","20","20",11,0.0023552251752147,4670.46638077706,"6"
"371830506002018","5","4","5","14","5","5","5","15","4","18","19",30,0.00491315025387006,6106.06198667936,"15"
"371830508001008","5","5","5","15","5","5","5","15","5","20","20",39,0.00238153309125368,16376.0059195607,"14"
"371830517002003","4","4","4","12","4","4","5","13","4","16","17",46,0.0143810444772683,3198.65501234704,"22"
"371830516003005","3","4","5","12","4","4","5","13","3","15","16",60,0.0133598830835108,4491.05726636589,"21"
"371830512003004","5","5","5","15","5","5","5","15","4","19","19",45,0.00651596124991269,6906.11841815403,"23"
"371830514005010","5","5","5","15","5","5","5","15","3","18","18",77,0.0102279651632032,7528.37918113177,"38"
"371830516003014","4","4","5","13","4","4","5","13","3","16","16",200,0.0883206909308122,2264.47503854645,"79"
"371830512001003","4","5","5","14","4","5","5","14","3","17","17",11,0.00514111302210674,2139.61450617796,"10"
"371830528063010","4","1","2","7","4","2","2","8","3","10","11",70,0.0148095355802704,4726.68434608141,"26"
"371830541061017","2","2","2","6","2","2","3","7","3","9","10",0,0.0504186119547974,0,"0"
"371830541052022","2","3","3","8","2","3","3","8","3","11","11",94,0.0173596626525754,5414.85176764393,"34"
